TicksStatic;DistStatic;AStarQntStatic;ProcessTimeMSStatic;TicksDynamic;DistDynamic;AStarQntDynamic;ProcessTimeMSDynamic;Result
50;2383.38;1;20;50;2383.38;1;109;0
212;15242.8;1;33;213;15259;2;258;2
199;14167.6;1;27;200;14242.2;2;95;2
183;13391.4;1;22;183;13391.4;1;33;0
470;16372.2;1;31;248;16812;1;65;1
275;17853.7;1;34;279;18091.5;2;172;2
2318;10244.7;1;19;2318;10244.7;59;19191;0
32;2069.11;1;23;32;2069.11;1;23;0
105;7517.82;1;25;105;7517.82;1;32;0
194;13530.9;1;25;194;13530.9;1;42;0
223;13928.3;1;29;223;13928.3;1;59;0
3757;12871.5;1;26;209;14089.8;3;240;1
196;12398.4;1;30;196;12398.4;1;47;0
151;9313.75;1;28;151;9313.75;1;40;0
1281;9381.19;1;25;942;9657.15;3;131;1
252;16334.7;1;35;252;16334.7;1;77;0
1743;19213.9;1;30;1743;19213.9;2;66;0
456;28567.6;1;52;456;29188.5;4;615;0
206;13706.7;1;32;206;13706.7;1;88;0
198;12843.3;1;28;198;12843.3;1;77;0
2485;13990.5;1;30;236;14403.5;1;65;1
281;10780.6;1;28;161;11972.8;2;118;1
223;14174.3;1;30;223;14174.3;1;60;0
164;10015.2;1;28;164;10015.2;1;65;0
2291;9014.94;1;26;149;9481.65;1;37;1
200;13982.4;1;35;200;13982.4;1;86;0
229;15455.2;1;32;229;15455.2;1;65;0
159;10096.8;1;26;159;10096.8;1;50;0
309;14078.1;1;27;345;24361.2;28;3459;2
206;15532.6;1;41;206;15532.6;1;100;0
197;13973.9;1;31;197;13973.9;1;40;0
98;5891.08;1;26;98;5891.08;1;31;0
650;17916.8;1;37;272;19628.4;3;554;1
251;4841.36;1;27;79;4931.79;1;32;1
645;9015.42;1;31;143;9125.01;2;96;1
145;10294.9;1;28;145;10294.9;1;46;0
199;13403.3;1;34;199;13403.3;1;73;0
157;11016.2;1;32;157;11016.2;1;69;0
7293;17290.7;1;43;267;17825.5;1;113;1
151;8200.42;1;27;152;9597.2;1;59;2
92;5822.32;1;28;92;5822.32;1;34;0
149;9865.28;1;29;149;9865.28;1;44;0
226;15151.3;1;43;226;15151.3;1;123;0
106;7230.21;1;26;106;7230.21;1;32;0
696;14496.4;1;39;213;14569.8;1;93;1
1814;27051.4;1;60;466;30813.3;5;799;1
2210;10769.7;1;35;192;12307.9;1;86;1
265;16114;1;36;265;16114;1;76;0
159;9568.63;1;31;159;9568.63;1;57;0
299;19694.6;1;40;299;19694.6;1;108;0
161;10868.7;1;33;161;10868.7;1;67;0
2877;24979.9;1;58;487;33649.6;1;200;1
3197;19585.5;1;45;307;20318.9;1;127;1
127;7811.85;1;36;127;7811.85;1;51;0
51;3135.75;1;29;51;3135.75;1;33;0
557;6847.12;1;27;108;7091.31;1;39;1
25;1638.35;1;42;25;1638.35;1;34;0
1791;16094.3;1;42;265;16439.5;2;282;1
116;6807.79;1;27;116;6807.79;1;43;0
1137;13178;1;26;1137;13178;19;650;0
169;10659.5;1;32;169;10659.5;1;64;0
2285;16790.2;1;37;2285;16790.2;2;143;0
335;13918.6;1;38;229;14106.2;1;93;1
3021;23613.2;1;62;382;25312.3;3;663;1
20;841.305;1;26;20;841.305;1;24;0
16;710.184;1;25;16;710.184;1;24;0
392;26255.6;1;57;392;26255.6;1;303;0
330;20880.2;1;47;330;20880.2;1;108;0
134;8920.67;1;27;134;8920.67;1;37;0
115;8677.5;1;32;115;8677.5;1;54;0
222;12572.8;1;34;222;12572.8;1;65;0
280;17749;1;42;280;17749;1;100;0
3247;17283;1;37;295;17750.1;1;79;1
397;26230.1;1;56;397;26361.5;1;186;0
395;15110.8;1;46;191;15196.1;1;57;1
75;4301.93;1;26;75;4301.93;1;32;0
9022;20953.7;1;53;336;21707.2;2;252;1
75;4613.87;1;28;75;4613.87;1;31;0
483;32311.1;1;64;483;32311.1;1;226;0
175;11314.1;1;34;175;11314.1;1;70;0
239;15984.8;1;39;239;15984.8;1;97;0
174;11423;1;32;174;11423;1;62;0
114;7073.18;1;27;114;7073.18;1;45;0
635;27790.7;1;56;635;27790.7;2;174;0
168;9973.25;1;28;168;9973.25;1;44;0
1018;5833.96;1;26;111;6945.41;2;86;1
133;8836.13;1;29;132;8842.65;1;52;1
213;13324.6;1;32;212;13350.7;2;136;1
209;13287.2;1;34;209;13287.2;1;64;0
1292;9177.52;1;26;155;10422.5;1;37;1
296;22643.8;1;55;296;22643.8;1;167;0
204;12652.6;1;31;204;12652.6;1;57;0
331;21923.1;1;44;336;21985.9;2;259;2
2245;5965.48;1;27;100;6885.01;2;85;1
511;25609.1;1;47;371;25764.9;1;133;1
1925;4513.83;1;24;99;5996.07;1;29;1
161;9937.23;1;29;161;9937.23;1;45;0
31;2236.93;1;25;31;2236.93;1;25;0
1352;8979.78;1;27;139;9340.27;2;88;1
74;5162.63;1;25;74;5162.63;1;31;0
505;15333.8;1;37;321;20258.1;2;292;1
7199;10013.3;1;29;173;10562.7;3;154;1
143;8689.23;1;27;180;11068.5;1;77;2
1342;11083.1;1;32;206;13135.7;2;124;1
91;6348.8;1;25;91;6348.8;1;26;0
207;13111.5;1;31;197;13808.9;1;59;1
113;6737.78;1;26;113;6737.78;1;32;0
16;987.081;1;24;16;987.081;1;23;0
1031;8346.73;1;29;1031;9842.3;6;437;0
1810;16887.8;1;37;284;17859.8;2;194;1
1262;10770.2;1;27;1262;10770.2;3;209;0
798;1922.89;1;24;51;2807.5;2;53;1
111;6664.77;1;26;111;6664.77;1;36;0
129;7881.73;1;25;134;8107.87;2;61;2
344;8565.56;1;31;154;8738.41;1;45;1
1648;15328.4;1;34;240;15401.3;1;65;1
331;22416.2;1;47;331;22416.2;1;116;0
78;4266.52;1;25;78;4266.52;1;29;0
178;11319.7;1;37;178;11319.7;1;62;0
3604;13765.4;1;34;236;14628.2;2;157;1
