TicksStatic,DistStatic,AStarQntStatic,ProcessTimeMSStatic,TicksDynamic,DistDynamic,AStarQntDynamic,ProcessTimeMSDynamic,Result
298,22323.3,1,61,335,22750.3,2,761,2
348,26117.7,1,59,395,26817.3,2,576,2
128,7919.7,1,27,128,7919.7,1,34,0
240,11273.6,1,33,164,11200.2,3,241,1
225,14026.9,1,33,225,14026.9,1,103,0
164,6507.87,1,27,100,6718.98,1,45,1
108,7231.02,1,32,108,7231.02,1,31,0
208,13377.8,1,33,208,13377.8,1,91,0
152,9120.73,1,29,152,9120.73,1,64,0
53,2940.5,1,29,53,2940.5,1,22,0
252,15150.3,1,35,245,16259.9,3,377,1
326,22521.3,1,43,326,22521.3,1,198,0
22,1423.51,1,24,22,1423.51,1,23,0
184,11098,1,37,184,11098,1,84,0
215,14104.7,1,36,215,14104.7,1,112,0
44,3305.52,1,25,44,3305.52,1,28,0
249,14608.3,1,38,357,14767.2,2,149,2
262,16964.8,1,45,262,16964.8,1,182,0
140,8320.03,1,30,140,8320.03,1,54,0
185,11764.5,1,31,185,11764.5,1,93,0
66,4099.5,1,27,66,4099.5,1,32,0
444,28976.4,1,52,461,29268.2,3,795,2
181,12497.4,1,32,181,12497.4,1,89,0
230,15300.1,1,33,230,15300.1,1,92,0
139,9001.61,1,28,141,9098.13,1,59,2
239,2341.59,1,31,79,4555.14,2,73,1
118,8455.94,1,27,118,8455.94,1,38,0
336,22110.7,1,43,392,22472.5,5,825,2
208,13616.9,1,32,208,13616.9,1,125,0
81,5359.37,1,25,81,5359.37,1,27,0
305,9792.23,1,36,170,10671.4,1,68,1
173,10747.9,1,29,174,10730.6,1,51,2
168,11267.3,1,30,168,11267.3,1,124,0
511,17255.6,1,45,416,25121,4,794,1
162,9498.96,1,29,162,9498.96,1,57,0
353,23855.1,1,57,333,23863.6,3,724,1
324,23192.2,1,55,317,23387.3,4,1160,1
130,8991.73,1,26,130,8991.73,1,46,0
248,13288.6,1,29,209,13045.6,1,88,1
399,24027.1,1,53,362,24072.2,29,2352,1
38,2039.39,1,26,38,2039.39,1,23,0
239,9076.62,1,28,152,9116.03,29,971,1
318,12714.1,1,31,233,13066.2,2,140,1
101,6468.78,1,28,101,6468.78,1,37,0
444,19735.6,1,39,310,19951.9,1,205,1
150,10853,1,27,150,10853,1,49,0
189,11606.7,1,29,189,11606.7,1,77,0
109,7683.32,1,27,112,7758.55,1,51,2
70,4131.53,1,27,70,4131.53,1,23,0
218,14687.1,1,49,218,14687.1,1,533,0
536,24938.5,1,70,396,26488.3,2,739,1
295,18663.8,1,57,296,18686.1,1,217,2
160,9672.73,1,27,160,9672.73,1,48,0
192,13223.6,1,29,192,13223.6,1,74,0
109,7087.44,1,27,109,7087.44,1,43,0
446,29014.6,1,77,448,29144.4,4,1500,2
327,15977.6,1,43,262,16084.2,1,144,1
149,9197.37,1,61,149,9197.37,1,400,0
156,10965.7,1,60,156,10965.7,1,252,0
159,10335.7,1,33,159,10335.7,1,78,0
153,9823.1,1,42,153,9823.1,1,65,0
548,30394.6,1,62,474,30996.7,4,1229,1
197,13003.8,1,41,197,13003.8,1,217,0
440,28941.9,1,68,431,29224,2,982,1
277,17086.7,1,46,277,17086.7,1,144,0
175,10265.2,1,29,175,10265.2,1,70,0
127,7749.23,1,28,127,7749.23,1,55,0
94,4967.65,1,26,86,5019.92,1,32,1
204,14003.9,1,32,204,14003.9,1,112,0
227,14470.1,1,32,218,14665.1,4,307,1
58,3304.28,1,24,58,3304.28,1,28,0
37,2439.9,1,24,37,2439.9,1,24,0
155,8632.96,1,31,155,8632.96,1,61,0
204,14107.3,1,34,204,14107.3,1,99,0
244,8151.09,1,27,153,9457.64,1,66,1
164,11879,1,28,164,11879,1,78,0
252,15196,1,37,252,15196,1,116,0
231,15093.3,1,42,251,17105.9,2,328,2
318,19604.1,1,41,295,19640.6,1,192,1
276,18203.1,1,40,276,18203.1,1,177,0
177,13494.1,1,31,177,13494.1,1,74,0
414,25833.8,1,48,395,26078,2,447,1
189,10979.8,1,28,179,11558,2,109,1
406,30202.7,1,61,406,30202.7,1,362,0
297,18529.9,1,36,297,18529.9,1,122,0
351,23005,1,42,362,23238.2,2,436,2
168,11164,1,32,168,11164,1,91,0
451,25896,1,44,415,26380.2,2,528,1
191,11587.2,1,32,191,11587.2,1,74,0
209,12704.6,1,33,209,12704.6,1,165,0
248,15399.9,1,34,248,15399.9,1,354,0
324,16254,1,38,236,16314,2,247,1
265,13251.4,1,37,234,13317.5,3,265,1
89,4933.15,1,27,95,5372.95,2,63,2
216,13548.9,1,31,216,13548.9,1,108,0
90,6251.09,1,27,90,6251.09,1,41,0
255,14624,1,37,236,16954.4,1,242,1
318,19966.8,1,46,325,20257.7,2,343,2
244,14510.5,1,37,239,14761.2,1,123,1
108,6873.23,1,27,127,7046.78,1,38,2
263,14058.6,1,33,207,14404,1,110,1
171,4435.34,1,26,78,4566.19,1,28,1
203,14267.5,1,33,203,14267.5,1,110,0
158,10253.3,1,28,158,10253.3,1,76,0
105,6209.77,1,27,105,6209.77,1,48,0
324,13330.2,1,34,324,13330.2,15,481,0
166,9833.99,1,29,157,10128.8,1,58,1
79,4845.38,1,30,79,4845.38,1,47,0
258,17315,1,48,258,17315,1,125,0
150,9247.61,1,27,150,9247.61,1,48,0
298,21889.3,1,47,298,21889.3,4,774,0
212,13638.8,1,30,215,13686.2,2,180,2
290,11936.8,1,38,290,11936.8,3,149,0
189,10535.8,1,30,187,12156.6,3,156,1
