TicksStatic,DistStatic,AStarQntStatic,ProcessTimeMSStatic,TicksDynamic,DistDynamic,AStarQntDynamic,ProcessTimeMSDynamic,Result
227,11774.8,1,60,203,11931.2,2,195,1
185,10678.7,1,42,174,11224.9,2,184,1
26,1574.82,1,20,26,1574.82,1,22,0
118,7903.88,1,21,118,7903.88,1,27,0
135,8824.35,1,30,135,8824.35,1,78,0
39,2262.9,1,22,39,2262.9,1,26,0
170,13146.9,1,22,170,13146.9,1,35,0
56,3332.22,1,21,56,3332.22,1,33,0
542,7744.3,1,21,149,10174.8,4,157,1
41,2630.2,1,22,41,2630.2,1,36,0
339,24644.7,1,111,339,24644.7,1,544,0
212,6266.93,1,24,96,6628.37,2,90,1
78,4630.82,1,29,78,4630.82,1,64,0
85,4983.68,1,27,85,4983.68,1,51,0
431,28998.3,1,73,431,28998.3,1,446,0
314,20785.6,1,52,335,21735,3,804,2
263,18119.7,1,39,263,18119.7,1,206,0
174,11024.4,1,23,174,11024.4,1,93,0
242,16924.8,1,32,251,18268,2,273,2
224,15008.7,1,36,224,15008.7,1,145,0
57,3256.24,1,16,57,3256.24,1,21,0
318,20938.9,1,34,318,20938.9,1,127,0
270,17615.4,1,39,270,17615.4,1,253,0
286,19112,1,32,286,19112,2,90,0
311,17979.9,1,72,311,17979.9,1,225,0
169,11147.1,1,28,169,11147.1,1,161,0
177,13467.7,1,29,177,13467.7,1,76,0
414,25878.7,1,64,440,27991.3,9,2885,2
163,8596.47,1,21,138,8955.58,2,136,1
85,5540.97,1,19,85,5540.97,1,60,0
152,12163.1,1,25,152,12163.1,1,81,0
278,18011.3,1,26,278,18011.3,1,163,0
103,6669.66,1,28,103,6669.66,1,55,0
101,4888.74,1,32,83,4910.32,1,47,1
188,12725.7,1,27,188,12725.7,1,100,0
254,16551.8,1,31,254,16551.8,4,164,0
357,21068.6,1,54,362,21227,4,733,2
413,13840.1,1,28,248,13985.4,4,290,1
102,6274.77,1,19,102,6274.77,1,30,0
174,11413.8,1,26,174,11413.8,1,122,0
94,6261.39,1,19,94,6261.39,1,27,0
162,11209.8,1,33,162,11209.8,1,85,0
64,3889.63,1,18,64,3889.63,1,24,0
115,6960.3,1,18,120,7279.44,2,61,2
144,8937.54,1,21,144,8937.54,1,64,0
124,8159.97,1,20,124,8159.97,1,41,0
212,13113.2,1,30,227,13400.7,2,93,2
17,1146.86,1,18,17,1146.86,1,17,0
56,3358.96,1,19,56,3358.96,1,31,0
306,15052.3,1,31,242,15075.4,2,186,1
29,1959.76,1,16,29,1959.76,1,20,0
241,15707.3,1,34,241,15707.3,1,100,0
355,19470.1,1,35,318,19506.3,4,616,1
160,10482.1,1,21,160,10482.1,1,57,0
214,13970.8,1,27,214,13970.8,1,120,0
275,3252.45,1,20,275,3252.45,2,35,0
64,3803.23,1,16,64,3803.23,1,20,0
223,17237.2,1,27,257,17690.5,2,301,2
42,2438.98,1,22,42,2438.98,1,22,0
295,15040.9,1,23,225,15626.3,2,123,1
109,7169.08,1,19,109,7169.08,1,30,0
68,4118.76,1,17,68,4118.76,1,24,0
214,14614.3,1,30,214,14614.3,1,150,0
145,10055.6,1,18,145,10055.6,1,22,0
41,2563.4,1,17,41,2563.4,1,25,0
129,8115.59,1,30,132,8301.09,2,76,2
245,16523.1,1,33,251,16874.3,2,224,2
80,4813.54,1,19,80,4813.54,1,32,0
35,2160.89,1,18,35,2160.89,1,19,0
49,2836.96,1,17,49,2836.96,1,19,0
160,9247.68,1,23,160,9247.68,1,41,0
139,8615.87,1,20,139,8615.87,1,37,0
351,22988.4,1,50,351,22988.4,1,377,0
251,17512.7,1,31,384,17574.9,3,388,2
67,4651.84,1,19,67,4651.84,1,33,0
83,5558.01,1,19,83,5558.01,1,27,0
137,8931.11,1,22,137,8931.11,1,45,0
298,5608.92,1,19,95,5658.49,1,40,1
211,12157.9,1,30,211,12157.9,1,86,0
46,2605.4,1,19,46,2605.4,1,20,0
160,9636.23,1,19,160,9636.23,1,49,0
513,30409.8,1,49,462,30623.7,3,800,1
262,13079.7,1,26,218,13446.1,1,111,1
243,13873.3,1,27,229,14192.4,2,122,1
294,19400.9,1,30,264,19864.5,5,686,1
187,9989.16,1,21,145,9997.09,1,65,1
273,18460.6,1,33,273,18460.6,1,156,0
220,15533.9,1,29,220,15533.9,1,142,0
225,13879.2,1,25,222,13997.7,2,145,1
100,6527.17,1,19,100,6527.17,1,37,0
252,16752.9,1,27,252,16752.9,1,157,0
163,11635.7,1,20,163,11635.7,1,46,0
244,15811.2,1,24,244,15811.2,1,144,0
62,3975.54,1,19,62,3975.54,1,19,0
563,26759.8,1,40,451,29289.7,6,1147,1
136,9022.33,1,21,136,9022.33,1,76,0
150,10039.4,1,28,150,10039.4,1,42,0
203,14095,1,26,203,14095,1,105,0
255,11837.3,1,20,167,11839.9,3,229,1
249,15694.7,1,25,270,17842.3,2,298,2
146,7206.78,1,19,117,7497.66,2,89,1
108,6750.85,1,20,108,6750.85,1,57,0
179,12925.9,1,20,179,12925.9,1,54,0
49,2643.93,1,16,49,2643.93,1,24,0
156,10320.6,1,19,156,10320.6,1,56,0
147,10136.4,1,25,147,10136.4,1,50,0
379,24201.6,1,59,330,24266.5,2,591,1
143,6439.46,1,19,109,6580.6,1,39,1
140,8964.05,1,19,140,8964.05,1,31,0
305,19874.5,1,31,324,20242.7,1,203,2
181,13556.7,1,23,181,13556.7,1,67,0
128,8010.85,1,30,128,8010.85,1,50,0
105,6984.36,1,22,105,6984.36,1,52,0
190,9872.01,1,28,160,10007.6,1,75,1
93,5649.85,1,17,93,5649.85,1,31,0
99,5923.9,1,18,99,5923.9,1,42,0
175,11175.1,1,22,175,11175.1,1,85,0
92,4644.6,1,18,92,4644.6,1,28,0
217,12916.9,1,21,217,12916.9,1,76,0
29,1536.81,1,16,29,1536.81,1,19,0
181,12639.4,1,29,181,12639.4,1,134,0
184,10512.6,1,22,184,10512.6,1,59,0
514,24994.6,1,35,459,31227.5,3,765,1
256,16870.8,1,23,256,16870.8,1,123,0
223,14010.6,1,21,223,14010.6,1,53,0
139,8038.18,1,20,139,8038.18,1,45,0
150,9298.52,1,23,150,9298.52,1,58,0
101,3946.28,1,18,101,5569.88,1,45,0
247,13192.9,1,25,210,13152.4,1,120,1
66,4256.06,1,18,66,4270.27,2,42,0
91,5266.39,1,19,91,5266.39,1,33,0
207,12275.7,1,23,207,12275.7,1,99,0
201,7284.66,1,19,123,7848.16,3,175,1
89,5490.16,1,16,89,5490.16,1,24,0
451,29671.3,1,45,480,32157.7,6,1666,2
183,12600.8,1,21,181,12983.9,2,96,1
90,6080.35,1,24,90,6080.35,1,31,0
